region,country,facility,institution,probe,beamline,instrument,technique,priority,official_or_reference_url,gsasii_status,search_status,notes
North America,USA,HFIR,Oak Ridge National Laboratory,neutron,HB-2A,POWDER,powder diffraction,1,https://neutrons.ornl.gov/powder/users,active_download,checked,Public GSAS-II ZIPs with .instprm files.
North America,USA,HFIR,Oak Ridge National Laboratory,neutron,HB-2C,WAND2,powder/single-crystal diffraction,1,https://neutrons.ornl.gov/wand/users,active_download_gpx,checked,Public GSAS-II .gpx input file; not .instprm.
North America,USA,SNS,Oak Ridge National Laboratory,neutron,BL-1B,NOMAD,total scattering/powder diffraction,1,https://neutrons.ornl.gov/nomad/users,active_download,checked,Public GSAS-II ZIPs with .instprm files.
North America,USA,SNS,Oak Ridge National Laboratory,neutron,BL-11A,POWGEN,powder diffraction,1,https://neutrons.ornl.gov/powgen/users,active_download,checked,Public GSAS-II ZIPs with .instprm files.
North America,USA,SNS,Oak Ridge National Laboratory,neutron,BL-3,SNAP,high-pressure powder diffraction,2,https://neutrons.ornl.gov/snap,checked_no_public_asset,checked,No public GSAS-II asset found in ORNL powder calibration page search.
North America,USA,NCNR,National Institute of Standards and Technology,neutron,BT-1,High Resolution Powder Diffractometer,powder diffraction,1,https://www.nist.gov/ncnr/high-resolution-powder-diffractometer-bt-1,checked_no_public_asset,initial_checked,Public pages describe BT-1 and GSAS workflows; no public GSAS-II .instprm found yet.
North America,USA,LANSCE,Los Alamos National Laboratory,neutron,HIPPO,HIPPO,time-of-flight powder diffraction,1,https://lansce.lanl.gov/facilities/lujan/instruments/hippo/index.php,checked_no_public_asset,searched_2026-06-19,Targeted search found HIPPO GSAS/MAUD references but no public GSAS-II .instprm download.
North America,USA,LANSCE,Los Alamos National Laboratory,neutron,NPDF,Neutron Powder Diffractometer,powder diffraction,1,https://lansce.lanl.gov/,checked_no_public_asset,searched_2026-06-19,Targeted search found no public GSAS-II .instprm download.
North America,USA,LANSCE,Los Alamos National Laboratory,neutron,SMARTS,SMARTS,engineering diffraction,2,https://lansce.lanl.gov/,checked_no_public_asset,searched_2026-06-19,Targeted search found the instrument page but no public GSAS-II .instprm download.
North America,USA,APS,Argonne National Laboratory,x-ray,11-BM,High Resolution Powder Diffractometer,powder diffraction,1,https://wiki-ext.aps.anl.gov/ug11bm/index.php/Standards_Data,advertised_blocked,checked,Page advertises GSAS-II .instprm but linked target is not downloadable headlessly.
North America,USA,APS,Argonne National Laboratory,x-ray,11-ID-B,11-ID-B,PDF/total scattering,1,https://wiki-ext.aps.anl.gov/srsmailin/index.php?title=SRS_mail-in,checked_no_public_asset,searched_2026-06-19,Rapid-access mail-in page lists 11-ID-B as PDF beamline; targeted search found no public GSAS-II .instprm download.
North America,USA,APS,Argonne National Laboratory,x-ray,17-BM,17-BM,rapid acquisition powder diffraction,1,https://wiki-ext.aps.anl.gov/srsmailin/index.php?title=SRS_mail-in,checked_no_public_asset,searched_2026-06-19,Rapid-access mail-in page lists 17-BM as XRD beamline; search found a GSAS-II calibration video but no public .instprm download.
North America,USA,APS,Argonne National Laboratory,x-ray,1-ID,1-ID,high-energy diffraction,3,https://www.aps.anl.gov/Beamlines,checked_no_public_asset,searched_2026-06-19,
North America,USA,APS,Argonne National Laboratory,x-ray,6-ID-D,6-ID-D,high-energy/powder diffraction candidate,3,https://www.aps.anl.gov/Beamlines,checked_no_public_asset,searched_2026-06-19,
North America,USA,APS,Argonne National Laboratory,x-ray,17-ID,17-ID,high-energy diffraction candidate,3,https://www.aps.anl.gov/Beamlines,checked_no_public_asset,searched_2026-06-19,
North America,USA,NSLS-II,Brookhaven National Laboratory,x-ray,28-ID-1,PDF,PDF/total scattering,1,https://www.bnl.gov/nsls2/beamlines/schedule.php?q=28-ID-1,checked_no_public_asset,initial_checked,Public page found; no public GSAS-II .instprm found yet.
North America,USA,NSLS-II,Brookhaven National Laboratory,x-ray,28-ID-2,XPD,x-ray powder diffraction,1,https://www.bnl.gov/nsls2/beamlines/highlights.php?q=28-ID-2,checked_no_public_asset,initial_checked,Public page found; no public GSAS-II .instprm found yet.
